,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Total
Commercial Human Spaceflight,340,344,353,359,366,372,379,385,392,399,"3,688"
Basic and Applied Research,19,21,25,32,40,44,71,73,75,78,477
Technology Demonstration,2,9,9,9,9,9,9,9,9,9,83
Media and Public Relations,4,4,4,4,4,4,5,4,5,5,46
Education,1,4,5,6,8,10,12,16,20,26,107
Satellite Deployment,7,8,9,10,11,12,13,14,15,16,117
TOTAL,373,390,405,421,438,451,489,501,517,533,"4,518"
Commercial Human Spaceflight,"1,046","1,060","1,079","1,099","1,118","1,138","1,159","1,179","1,200","1,222","11,300"
Basic and Applied Research,21,25,31,56,68,76,132,135,168,171,884
Technology Demonstration,4,9,15,17,19,20,21,22,24,25,177
Media and Public Relations,4,4,10,11,11,12,17,27,32,32,159
Education,1,4,6,10,14,21,30,46,66,99,296
Satellite Deployment,21,24,27,30,30,33,36,36,39,42,318
TOTAL,"1,096","1,127","1,169","1,223","1,260","1,299","1,394","1,445","1,529","1,592","13,134"
Commercial Human Spaceflight,187,188,191,195,198,202,205,209,213,216,"2,003"
Basic and Applied Research,18,19,22,23,30,32,28,28,28,29,256
Technology Demonstration,2,9,9,1,1,1,1,1,1,1,26
Media and Public Relations,3,3,3,3,3,2,1,0,1,0,20
Education,1,4,4,4,4,4,4,4,4,4,33
Satellite Deployment,3,3,3,3,3,3,3,6,6,6,39
TOTAL,213,226,232,229,239,243,241,247,252,255,"2,378"
